,fips,objectid,id,acstotpop,acsipovbas,acseducbas,acstothh,acstothu,minorpop,minorpct,lowincome,lowincpct,lesshs,lesshspct,under5,under5pct,over64,over64pct,pre1960,pre1960pct,vuleopct,vuleo,dispeo,dslpm,cancer,resp,ptraf,pwdis,pnpl,prmp,ptsdf,ozone,pm25,state_name,region,arealand,areawater,npl_cnt,tsdf_cnt,shape_length,shape_area
55,37109,146388.5,3.71091E+11,1628.82,1612.02,1157.94,640.44,704.54,243.36,0.153579217,564.78,0.379208695,167.14,0.152927756,82.28,0.053963948,275.22,0.170272884,100.84,0.17838677,0.266393956,407.8475165,-169.0823602,0.270663136,35.37423192,0.468881959,NA,NA,0.040408049,0.531194443,0.712079109,44.62357648,8.937223612,NA,4,15324507.88,467293,0,0.16,22803.17055,23870413.9
56,37111,146429,3.7112E+11,1455.129032,1420.548387,1051.322581,579.3870968,687,182.1612903,0.132209382,604.5806452,0.430090016,170.4193548,0.168200488,63.61290323,0.039287953,283.7096774,0.205683309,145.6774194,0.21931611,0.281149699,401.6875705,-113.7207701,0.180494299,27.7375727,0.356747477,NA,NA,0.027711393,0.227030763,0.401356129,42.49923127,7.532774392,NA,4,36757339.58,450867.1613,0,0.129032258,37512.13583,56516677.95
57,37113,146458.5,3.7114E+11,1228.928571,1219.285714,924,560.6785714,912.75,131.5714286,0.105427009,453.8928571,0.38402766,104.9285714,0.119324341,60.10714286,0.049912629,344.75,0.281985172,146.1785714,0.170151792,0.244727335,294.2633308,-141.024552,0.107280142,24.04551917,0.308323499,NA,NA,0.023084511,0.260527917,0.04351834,37.77120315,7.115526134,NA,4,47691305.07,378294.1786,0,0,42171.37135,72066349.02
58,37115,146480.5,3.7115E+11,1337.8125,1271.0625,953.5,528.25,680.75,79.0625,0.055802115,489.9375,0.396675516,139.3125,0.15180438,59.75,0.043718743,280.375,0.218459396,153.9375,0.237396737,0.226238815,294.0972891,-179.7574037,0.122930826,23.88297485,0.302917245,NA,NA,0.033400503,0.111406177,0.275399393,43.80217333,7.177182411,NA,4,72781107.56,302547.6875,0,0.0625,55825.63899,111497893.9
59,37117,146499,3.7118E+11,1097.809524,1088.761905,788.952381,451,552.7619048,526.2380952,0.520075244,463.4285714,0.443938669,131.7619048,0.167172623,58.71428571,0.051214867,239.5238095,0.235274738,161.952381,0.297901548,0.482006957,496.8405848,107.9952162,0.157084191,26.69858856,0.352675298,NA,NA,0.031709454,0.17037817,0.038278323,40.0285258,7.372141279,NA,4,56292150.57,35552.85714,0,0,48085.93977,85902874.94
60,37119,146787,3.7119E+11,1899.664865,1872.104505,1269.187387,727.1099099,785.2162162,1001.046847,0.508843567,553.1171171,0.302822218,125.9117117,0.102858546,128.7207207,0.065221932,202.1927928,0.113343881,85.37117117,0.13903627,0.405832892,780.2089769,107.3455442,NA,NA,NA,NA,NA,0.067862546,0.665084853,2.905625076,45.63925907,9.053601815,NA,4,2443328.153,105115.9279,0.001801802,0.178378378,8468.601913,3829650.412
61,37121,147071.5,3.7122E+11,1074.285714,1043.857143,795.4285714,454.3571429,629.4285714,81.64285714,0.074174703,367.3571429,0.351735011,122.9285714,0.173587533,47.78571429,0.038008121,257.7857143,0.252453081,167.7857143,0.28102585,0.212954857,229.5586046,-150.9546042,0.1149883,22.1944122,0.272008105,NA,NA,0.020664862,0.044791332,0.202594259,42.99487035,6.937167718,NA,4,40931455.86,116285.2143,0,0.071428571,44699.65595,62867433.27
62,37123,147089.5,3.7124E+11,1242.636364,1193.090909,863.3181818,473.2272727,737.9545455,456.4545455,0.352599146,526.7727273,0.454565957,178.7727273,0.205784097,68.77272727,0.048616267,238.9545455,0.205571502,155.7272727,0.249096869,0.403582551,513.8405329,73.69733469,0.169863138,34.8180688,0.497446388,NA,NA,0.024453482,0.294644608,0.137448733,42.48438381,7.548111681,NA,4,57865566.36,1178178.227,0,0.045454545,47457.8416,88913634.84
63,37125,147129,3.7126E+11,1677.701754,1657.122807,1212.912281,683.5964912,818.2105263,382.5964912,0.245041873,482.3333333,0.322523669,116.3684211,0.11253872,94.0877193,0.055886762,398.2105263,0.231623885,110.122807,0.169906847,0.283782771,435.6780465,-158.5658027,0.183045417,35.46155622,0.480665615,NA,NA,0.227353908,0.175092299,0.206823936,42.23749293,7.873791876,NA,4,31701356.6,363524.1228,0.052631579,0.052631579,31083.2857,48260569.47
64,37127,147190,3.7127E+11,1446.2,1415.492308,994.6615385,564.9230769,659.6307692,717.6461538,0.519988605,506.5538462,0.390174232,145.2153846,0.1613644,81.32307692,0.052936866,250.6769231,0.185933407,125.0153846,0.216118924,0.455081419,617.7099493,105.464282,0.259709708,31.13754143,0.414148671,NA,NA,0.014516391,0.474308535,0.766062567,41.45325828,8.07064494,NA,4,21534458.66,95043.47692,0,0.138461538,25404.85586,33088915.93
65,37129,147282.5,3.7129E+11,1868.591667,1811.108333,1272.225,780.3,910.3666667,428.1333333,0.234301336,627.8333333,0.361781604,89.73333333,0.074030773,94.28333333,0.047640659,311.8916667,0.164326348,132.4166667,0.198071505,0.29804147,543.1824198,-118.6748511,NA,NA,NA,NA,NA,0.128909967,0.463803821,2.505345092,NA,NA,NA,4,4148353.517,2949491.433,0.008333333,0.241666667,12658.68393,10397404.35
66,37131,147353.5,3.71319E+11,917.5454545,876.8181818,683.1363636,392.1818182,530.4545455,562.7727273,0.586459461,420.3181818,0.466272674,140.3636364,0.193433138,42.09090909,0.046246074,222.7727273,0.259616635,140.7727273,0.298906004,0.526366067,504.4647935,179.4691611,0.167107751,29.46245935,0.38958335,NA,NA,0.012196882,0.22838202,0.146643091,40.25517579,7.667404682,NA,4,63177177.32,1637540.136,0,0.045454545,51636.37758,100291031.2
67,37133,147412.5,3.7133E+11,2019.916667,1806.270833,1074.791667,667.34375,817.71875,678.0625,0.336348179,716.0208333,0.399053857,94.21875,0.094433545,182.7291667,0.084785791,174.96875,0.104054585,67.39583333,0.113832257,0.367701018,726.9244888,11.4677326,NA,NA,NA,NA,NA,0.286745662,0.197093185,0.633431223,NA,NA,NA,4,20556434.89,3864819.188,0.020833333,0.083333333,23390.83834,36225054.34
68,37135,147498,3.7135E+11,1905.84,1757.186667,1185.906667,700.3866667,766.6933333,584.1866667,0.304025906,507.92,0.305627688,86.37333333,0.073711677,87.90666667,0.042600977,244.8533333,0.13079136,98.25333333,0.142452565,0.304826797,576.5700227,-98.48064979,0.343528094,36.04644466,0.476722069,NA,NA,0.040670809,0.142610188,1.700971348,43.06996313,8.642183257,NA,4,13728066.2,118333.24,0,0.093333333,18513.2471,21232346.4
69,37137,147542,3.7138E+11,980.1538462,923.6153846,764.9230769,411.6923077,593.9230769,252.6153846,0.25052233,365.2307692,0.380860977,91.69230769,0.113347057,35.61538462,0.034041305,275.6153846,0.258679884,96.30769231,0.161689133,0.315691653,322.7673384,-24.40425676,NA,NA,NA,NA,NA,0.039207659,0.156261475,0.124818994,NA,NA,NA,4,67041198.54,44851672.15,0,0.076923077,57417.71985,167753223
70,37139,147561.5,3.714E+11,1518.423077,1424.807692,1031.307692,568.4615385,658,685.8076923,0.467739125,537.5769231,0.406174846,139.4230769,0.141481429,95.61538462,0.070140116,244.8846154,0.172547688,160.9230769,0.31534397,0.436956986,624.2672967,86.44013435,0.209815414,24.66018489,0.321389256,NA,NA,0.017189212,0.65990225,0.720706116,40.29246192,6.873826554,NA,4,22600632.73,6220967.923,0,0.115384615,24384.92089,44424125.64
71,37141,147590.5,3.71419E+11,1844.375,1804.75,1299.9375,680.1875,893.78125,465.0625,0.240933212,569.46875,0.309013953,162.15625,0.121001848,104.65625,0.047284471,323.09375,0.180994198,87.90625,0.11462612,0.274973583,523.4460257,-129.8336746,NA,NA,NA,NA,NA,0.036057435,0.092090849,0.127454391,NA,NA,NA,4,70520162.13,5088548.938,0,0.03125,51381.07429,111633039.8
72,37143,147612.5,3.71439E+11,1121.583333,1107.833333,842.8333333,493.25,594.6666667,312.9166667,0.243810098,423.6666667,0.326505052,113.4166667,0.119268375,51,0.040286128,298.5833333,0.193767504,96.5,0.143252662,0.285157575,371.1531963,-26.11288239,0.14477123,23.80004565,0.306040104,NA,NA,0.012246907,0.224873212,0.075360732,39.66934706,6.968614041,NA,4,53341639.58,17652458.08,0,0.083333333,47811.22818,109183126
73,37145,147631.5,3.71459E+11,1511.730769,1489.307692,1074,605.5384615,708.7692308,508.3461538,0.352928636,557.1153846,0.389714953,146.6538462,0.150279342,79.19230769,0.050308819,277.9615385,0.204003999,150.9230769,0.238061685,0.371321795,537.5622272,2.10548774,0.196098861,31.66348259,0.414418731,NA,NA,0.185567328,0.292936851,0.28197182,42.80024568,8.243473014,NA,4,39082366.77,1200720.038,0.038461538,0.038461538,31776.67478,62288065.12
74,37147,147692.5,3.7147E+11,1847.625,1776.145833,1113.427083,720.5104167,818.3645833,837.21875,0.451841297,775.5520833,0.459055319,117.9479167,0.112428993,108.7604167,0.054921148,228.53125,0.134931489,89.69791667,0.166688112,0.455448308,821.986073,167.555219,0.240786927,29.04833684,0.392650859,NA,NA,0.036455741,0.278462755,1.401748856,40.68699575,7.640994726,NA,4,17600209.34,85915.04167,0,0.177083333,21208.88127,26805214.97
75,37149,147746.5,3.71499E+11,1704.833333,1679.083333,1316.916667,753.9166667,972.8333333,242.9166667,0.138384094,547,0.318024645,119.4166667,0.089267294,56.5,0.031360315,501.3333333,0.305365566,223.6666667,0.226595119,0.228204369,398.8701804,-204.9837046,0.194213128,30.18074587,0.389244344,NA,NA,0.054191449,0.067693322,0.065430099,42.61663965,8.065377735,NA,4,51300526,163669.5833,0,0,47430.43604,77398465.43
76,37151,147795.5,3.7151E+11,1662.302326,1641.639535,1146.860465,651.6395349,722.6395349,343.1627907,0.209979131,655.4651163,0.410482291,213.1976744,0.193280118,94.1627907,0.056794915,281.5465116,0.173845242,126.9302326,0.186889617,0.310230711,504.3060961,-84.48325804,0.261552036,34.46270679,0.453198694,NA,NA,0.01595743,0.33723267,0.950113762,44.24612614,8.098257503,NA,4,23560417.6,230245.314,0,0.139534884,27449.77911,36162185.95
77,37153,147859,3.7154E+11,1102.170732,1064.341463,745.6097561,452.3414634,521.4634146,470.4390244,0.41900496,522.1219512,0.504621277,147.195122,0.196422318,67.7804878,0.063092034,187.6097561,0.170337863,122.902439,0.260327436,0.461813118,504.4139567,114.0238433,0.201459327,35.34499419,0.499284649,138.3595155,NA,0.109754706,0.412651976,0.318664914,41.82070129,7.775240034,NA,4,29924064.68,378975.3659,0.024390244,0.024390244,26139.20445,45271555.23
78,37155,147923.5,3.7156E+11,1516.386364,1475.238636,973.3863636,522.375,603.0113636,1129.886364,0.73012599,808.3068182,0.556222166,223.2613636,0.233393393,102.6931818,0.069757008,215.3977273,0.146558311,109,0.203576706,0.643174078,980.2410465,443.1352903,0.220405003,32.47017876,0.457572862,NA,NA,0.024348766,0.548380424,0.315980724,40.7896415,8.097867923,NA,4,27879951.05,57686.29545,0,0.056818182,30367.81234,41372112.84
79,37157,148002,3.7157E+11,1322.753623,1301.724638,948.7536232,539.1449275,637.3478261,363.6086957,0.267140384,528.5652174,0.410122587,165.1304348,0.174799872,68.1884058,0.049273622,256.6376812,0.20210497,196.7536232,0.313645233,0.338631485,450.298401,-18.22242075,0.213409664,31.89095653,0.413966144,NA,NA,0.021662653,0.545776981,0.722823421,43.40692182,7.93598671,NA,4,21231594.68,267556.8261,0,0.15942029,27001.80409,33248252.72
80,37159,148083.5,3.71591E+11,1485.159574,1440.297872,1019.744681,556.393617,652.4361702,410.0744681,0.289237016,552.0212766,0.388225367,150.1914894,0.151123878,83.77659574,0.054007575,249.5319149,0.175323491,175.2340426,0.292828838,0.338731192,490.9233476,-35.12184481,0.353049737,36.59263384,0.492356446,NA,NA,0.121167003,0.524358634,0.84194379,45.84296269,8.610600867,NA,4,14092801.31,342931.883,0.010638298,0.127659574,19003.38319,21903894.8
81,37161,148156.5,3.7162E+11,1279.461538,1255.884615,912,506.6346154,659.1346154,211.9038462,0.172186708,530.8269231,0.427862535,158.5576923,0.175392404,65.25,0.046546697,264.5192308,0.218907212,163.6923077,0.265177779,0.300024622,377.0244271,-76.16228952,0.216217541,34.06881206,0.450787664,NA,NA,0.030520071,0.448272882,0.525531772,43.01236829,8.377364031,NA,4,28163004.79,90245.92308,0,0.096153846,28997.41498,42619729.58
82,37163,148205,3.7164E+11,1412.466667,1392.755556,944.8222222,523.0444444,613.5555556,688.7111111,0.500489239,668.5777778,0.488178266,210.9333333,0.217087584,90.91111111,0.062408745,241.4666667,0.176844446,120.4444444,0.209076029,0.494333753,683.7422499,183.4449672,0.163186339,30.51231939,0.413777533,NA,NA,0.024504754,0.34267322,0.242341677,40.44052825,8.094000865,NA,4,54430165.2,109418.3556,0,0.022222222,43645.13383,81452028.04
83,37165,148241,3.7165E+11,1306,1208.333333,876.8148148,485.6666667,566.4814815,736.5185185,0.574341026,626.5185185,0.549498551,176.7037037,0.199735716,81.55555556,0.062624605,220.7407407,0.177845593,121.2222222,0.247946327,0.561919789,702.2287733,239.6421037,0.195672715,35.15641065,0.499132683,NA,NA,0.030816195,0.302408594,0.283372275,41.85258736,8.046122511,NA,4,30613706.48,142295.7407,0,0.111111111,28346.41963,45765283.92
84,37167,148277.5,3.71679E+11,1328.565217,1286.326087,927.2826087,515.5869565,600.826087,254.4565217,0.207038638,472.6521739,0.390253625,138.2391304,0.151916919,74.76086957,0.05447396,244.3913043,0.188420147,185,0.344852088,0.298646132,371.7971237,-98.78217118,0.251566297,38.86160475,0.498289689,NA,NA,0.031207508,0.309971589,0.194528941,43.95999514,8.056565991,NA,4,22247183.89,548755.4565,0,0.065217391,26219.20953,34310975.78
